ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.737112,0.745675,0.011616,0.01,0.01,402,0.0001,0.2,760,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.739475,0.750144,0.014427,0.01,0.01,402,0.0001,0.2,780,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.737157,0.747,0.013353,0.01,0.01,402,0.0001,0.2,800,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.738286,0.749919,0.015757,0.01,0.01,402,0.0001,0.2,820,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.737728,0.749675,0.016195,0.01,0.01,402,0.0001,0.2,840,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.741334,0.749981,0.011665,0.01,0.01,402,0.0001,0.2,860,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.74154,0.750679,0.012324,0.01,0.01,402,0.0001,0.2,880,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.740422,0.751518,0.014985,0.01,0.01,402,0.0001,0.2,900,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.740242,0.75151,0.015222,0.01,0.01,402,0.0001,0.2,920,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.739614,0.74889,0.012542,0.01,0.01,402,0.0001,0.2,940,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.742941,0.754197,0.01515,0.01,0.01,402,0.0001,0.2,960,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.739141,0.750646,0.015566,0.01,0.01,402,0.0001,0.2,980,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.740657,0.751648,0.014839,0.01,0.01,402,0.0001,0.2,1000,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.741756,0.751356,0.012943,0.01,0.01,402,0.0001,0.2,1040,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.740914,0.753013,0.01633,0.01,0.01,402,0.0001,0.2,1080,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.743668,0.754884,0.015082,0.01,0.01,402,0.0001,0.2,1120,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.746275,0.75676,0.01405,0.01,0.01,402,0.0001,0.2,1160,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.745448,0.756241,0.014479,0.01,0.01,402,0.0001,0.2,1200,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.749571,0.757131,0.010085,0.01,0.01,402,0.0001,0.2,1240,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.745022,0.756182,0.014979,0.01,0.01,402,0.0001,0.2,1280,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.746892,0.756587,0.01298,0.01,0.01,402,0.0001,0.2,1320,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.746915,0.757709,0.014453,0.01,0.01,402,0.0001,0.2,1360,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.748005,0.757176,0.01226,0.01,0.01,402,0.0001,0.2,1400,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.749567,0.759228,0.012889,0.01,0.01,402,0.0001,0.2,1440,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.746228,0.758209,0.016055,0.01,0.01,402,0.0001,0.2,1480,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.750161,0.759745,0.012775,0.01,0.01,402,0.0001,0.2,1520,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.750307,0.759661,0.012467,0.01,0.01,402,0.0001,0.2,1560,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.749948,0.760231,0.013712,0.01,0.01,402,0.0001,0.2,1600,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.750597,0.760296,0.012921,0.01,0.01,402,0.0001,0.2,1640,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.751536,0.760663,0.012145,0.01,0.01,402,0.0001,0.2,1680,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.751065,0.760593,0.012685,0.01,0.01,402,0.0001,0.2,1720,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.751912,0.760926,0.011988,0.01,0.01,402,0.0001,0.2,1760,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.752642,0.761067,0.011194,0.01,0.01,402,0.0001,0.2,1800,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.752222,0.760844,0.011461,0.01,0.01,402,0.0001,0.2,1840,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.75254,0.761681,0.012147,0.01,0.01,402,0.0001,0.2,1880,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.752204,0.761793,0.012748,0.01,0.01,402,0.0001,0.2,1920,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
'deep learning keras',0.752438,0.761996,0.012703,0.01,0.01,402,0.0001,0.2,1960,relu,relu,4,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 50, 1)",sigmoid,Adagrad,100.0,50.0,0.0,0.0,2.0
